mutate		Coverage		Penalty		Time		Fitness
0.0		309.46		19336.918		0.7688099		-3531.481
0.01		305.97		19313.334		0.74143004		-3534.9639
0.02		308.05		19569.574		0.73126		-3535.4788
0.03		306.2		19783.0		0.7908301		-3536.0881
0.04		306.37		19468.742		0.7695699		-3537.724
0.049999997		305.0		19581.438		0.76767004		-3533.779
0.059999995		305.71		19554.168		0.76056015		-3524.6016
0.06999999		304.66		19431.592		0.76454		-3537.5972
0.07999999		306.56		19641.3		0.76536006		-3533.008
0.08999999		309.93		19318.703		0.7548599		-3522.6492
0.09999999		307.84		19342.13		0.7230099		-3521.9846
0.109999985		303.57		19213.633		0.7158401		-3555.0662
0.11999998		305.49		19437.225		0.72030014		-3549.702
0.12999998		306.7		19484.2		0.71082		-3539.0215
0.13999999		305.0		19455.477		0.72686		-3553.652
0.14999999		306.34		19599.223		0.7064402		-3540.8452
0.16		307.6		19543.902		0.7160103		-3505.0657
0.17		304.93		19776.36		0.74526		-3534.1829
0.18		302.52		19861.332		0.72682		-3565.8372
0.19000001		307.22		19640.469		0.65597		-3544.225
