popSize		Coverage		Penalty		Time		Fitness
5		304.82		20771.158		0.08254		-3739.7866
10		306.79		20071.656		0.15464		-3608.914
15		304.4		19672.002		0.22016996		-3603.43
20		305.29		19522.041		0.28883004		-3594.3457
25		303.63		19532.414		0.35937005		-3572.9055
30		305.78		19552.434		0.4346399		-3559.3093
35		304.59		19332.643		0.50398004		-3552.2476
40		304.45		19411.508		0.57352996		-3544.0454
45		306.12		19599.482		0.6463302		-3543.7295
50		306.71		19747.975		0.71473		-3530.8179
55		305.4		19310.367		0.78555		-3535.0234
60		308.02		19618.252		0.8637699		-3523.8992
65		308.48		19356.832		0.9388299		-3529.3557
70		305.66		19592.023		1.00987		-3521.8218
75		304.0		19588.773		1.0755899		-3565.0557
80		307.25		19374.842		1.1436698		-3528.4187
85		307.05		19528.693		1.2080804		-3513.9778
90		305.81		19308.525		1.28499		-3528.257
95		308.65		19760.375		1.36586		-3519.468
100		304.77		19478.93		1.4380803		-3537.7632
