mutate		Coverage		Penalty		Time
0.01		307.94		-50440.555		0.6962803
0.02		307.78		-50463.78		0.60778
0.03		312.6		-50070.234		0.61096007
0.04		310.26		-50548.055		0.6113
0.049999997		310.82		-50158.855		0.61402
0.059999995		310.88		-50180.66		0.63493997
0.06999999		310.26		-50644.83		0.60872
0.07999999		306.06		-50190.305		0.61578006
0.08999999		305.78		-50431.047		0.6093199
0.09999999		309.9		-50076.07		0.61186004
0.109999985		314.66		-50296.52		0.6113
0.11999998		313.94		-50313.566		0.6165399
0.12999998		308.46		-50508.18		0.6126801
0.13999999		302.76		-50170.93		0.60966
0.14999999		306.42		-50741.863		0.61056
0.16		312.8		-49799.65		0.62106
0.17		308.56		-50167.18		0.6268
0.18		308.36		-50139.375		0.63531995
0.19000001		312.44		-49743.965		0.61234
0.20000002		306.78		-50195.316		0.6092199
