parent		Coverage		Penalty		Time
0.0		309.83		-50498.254		0.60408
0.1		307.62		-50273.574		0.6045601
0.2		311.21		-50164.316		0.60567015
0.3		313.28		-49785.19		0.60894
0.4		308.08		-50405.74		0.60018003
0.5		311.05		-51063.016		0.62333995
0.6		311.07		-50816.164		0.61320007
0.70000005		310.46		-51210.65		0.60905
0.8000001		310.38		-50921.766		0.6093598
0.9000001		311.14		-51003.605		0.6092699
1.0000001		310.08		-51125.33		0.62744
1.1000001		310.02		-51349.41		0.62505996
1.2000002		310.3		-51484.926		0.6134999
1.3000002		311.59		-51064.695		0.61198
1.4000002		311.06		-51132.203		0.61114
1.5000002		311.9		-51476.37		0.6138
1.6000003		308.65		-51643.16		0.61097014
1.7000003		307.35		-51553.566		0.61146003
1.8000003		310.24		-51053.84		0.6153101
1.9000003		311.49		-51505.496		0.63825995
