round		Coverage		Penalty		Time
15		315.56		-49829.14		0.7083799
20		313.5		-50061.895		0.79909986
25		311.04		-49852.477		1.0536199
30		306.5		-50552.99		1.1803
35		308.56		-50677.47		1.3603199
40		312.12		-50048.785		1.553
45		311.54		-50552.92		1.74432
50		307.82		-50544.094		1.9509398
55		314.1		-49858.84		2.1175802
60		309.24		-50410.875		2.3107
65		311.32		-49797.46		2.5002804
70		311.74		-50328.35		2.69104
75		307.62		-50682.297		2.86084
80		306.48		-50543.05		3.04982
85		301.7		-50509.285		3.2504196
90		314.9		-50188.535		3.4560199
95		310.36		-50337.484		3.6514404
100		303.92		-51097.215		3.8110003
105		312.84		-49653.01		4.01306
110		310.74		-49949.605		4.1887403
round		Coverage		Penalty		Time
2		306.74		-50492.77		0.121039994
4		305.36		-50182.906		0.19273998
6		311.6		-50496.465		0.26661995
8		305.3		-50648.14		0.34396005
10		309.86		-50449.64		0.44274005
12		306.0		-50559.086		0.49128002
14		311.48		-49886.086		0.5963999
16		310.56		-49996.76		0.6540999
18		308.76		-50776.51		0.7619001
20		309.32		-50298.95		0.82280004
