popSize		Coverage		Penalty		Time		Fitness
5		306.42		21628.902		0.07037		-3564.679
10		300.22		21463.98		0.16390997		-3478.2112
15		304.33		20846.244		0.25681		-3375.4521
20		305.3		20176.908		0.31173		-3350.2957
25		304.83		20458.06		0.35617012		-3365.6448
30		303.22		20489.727		0.42115983		-3349.8682
35		305.29		20574.559		0.48492014		-3331.5718
40		302.71		20832.82		0.55076		-3342.6194
45		299.03		20767.225		0.6640001		-3366.5637
50		303.58		20402.865		0.7264399		-3335.8528
55		302.75		20469.867		0.8051401		-3323.3953
60		306.46		20157.229		0.87857974		-3308.7424
65		306.56		20530.178		0.94185036		-3347.9475
70		301.29		20425.201		1.01801		-3338.6882
75		301.65		20680.1		1.0869197		-3336.6028
80		303.08		20569.363		1.1552602		-3313.3691
85		304.18		20182.705		1.2317203		-3310.4675
90		304.94		20263.14		1.3116301		-3319.0457
95		304.29		20407.15		1.3591797		-3323.5576
100		298.77		20647.85		1.41887		-3334.2437
