mutate		Coverage		Penalty		Time		Fitness
0.01		312.18		-50410.84		0.66605985		-3530.4155
0.03		310.62		-50933.0		0.63542		-3552.865
0.049999997		315.02		-50319.16		0.6484399		-3498.3938
0.06999999		306.8		-50394.844		0.64208		-3570.2666
0.08999999		306.82		-51060.96		0.63659996		-3575.0972
0.109999985		307.0		-50566.04		0.6403599		-3570.8794
0.12999998		304.94		-50646.73		0.6387398		-3598.1504
0.14999998		310.88		-50264.57		0.6426		-3539.327
0.16999997		305.58		-51336.914		0.6382599		-3557.4795
0.18999997		310.26		-50065.3		0.63686		-3553.8743
0.20999996		309.88		-50681.145		0.63825995		-3564.2202
0.22999996		308.76		-50446.21		0.6404601		-3573.11
0.24999996		312.42		-50408.09		0.68851995		-3558.0469
0.26999995		310.02		-50791.844		0.7008599		-3566.0635
0.28999996		310.34		-50174.39		0.6768599		-3560.4517
