parent		Coverage		Penalty		Time		Fitness
0.0		315.32		-50209.406		0.7235598		-3547.003
0.02		304.28		-50823.99		0.6587999		-3581.9941
0.04		308.48		-50845.664		0.64132005		-3587.5903
0.06		306.84		-50388.03		0.6403801		-3576.7524
0.08		311.24		-50388.19		0.64119995		-3536.0732
0.099999994		307.2		-50570.594		0.63806		-3586.6565
0.11999999		304.16		-50458.285		0.63835984		-3594.7698
0.13999999		306.28		-50712.97		0.63839996		-3575.9653
0.15999998		310.62		-50314.27		0.63846		-3550.8894
0.17999998		315.78		-49846.83		0.64039993		-3496.5544
0.19999997		309.48		-50271.785		0.6539001		-3572.2434
0.21999997		311.02		-50101.637		0.64100003		-3575.3523
0.23999996		305.14		-50768.1		0.70140004		-3578.1482
0.25999996		309.86		-50397.74		0.65168		-3558.2627
0.27999997		310.2		-50748.375		0.64848		-3537.1018
