parent		Coverage		Penalty		Time		Fitness
0.0		306.84		19501.95		0.64115995		-3551.3682
0.025		307.43		19736.79		0.64000994		-3532.959
0.05		306.63		19561.44		0.6466098		-3527.68
0.075		305.42		19551.541		0.66185004		-3543.3894
0.1		303.38		19618.629		0.66691995		-3546.4531
0.125		306.8		19446.414		0.66678995		-3531.6538
0.15		308.04		19616.256		0.66435		-3525.5332
0.17500001		307.91		19384.29		0.64855975		-3541.0383
0.20000002		307.5		19260.4		0.6436599		-3527.0227
0.22500002		305.91		19534.234		0.6358399		-3548.0103
0.25000003		306.17		19387.771		0.64220995		-3531.6394
0.27500004		309.25		19530.068		0.63778985		-3531.0522
0.30000004		306.82		19146.01		0.65783995		-3539.4585
0.32500005		302.28		19583.682		0.6366999		-3567.643
0.35000005		305.35		19609.588		0.64595		-3558.1729
0.37500006		306.99		19355.617		0.63773996		-3547.6174
0.40000007		306.46		19545.496		0.64111984		-3561.325
0.42500007		307.28		19593.71		0.63847995		-3570.7903
0.45000008		303.1		19439.988		0.63570994		-3599.489
0.47500008		305.25		19629.457		0.63690996		-3604.5344
