popSize		Coverage		Penalty		Time		Fitness
5		311.38		-52133.38		0.0803		-3784.4897
10		310.96		-50745.805		0.13823998		-3616.782
15		306.56		-50452.996		0.19564		-3643.9111
20		311.66		-50406.05		0.25318003		-3602.0994
25		308.72		-50852.91		0.31508		-3586.2944
30		306.56		-50861.836		0.3790399		-3575.085
35		306.76		-50334.84		0.44199997		-3560.268
40		308.28		-50712.36		0.50560004		-3550.965
45		313.1		-50707.18		0.57178		-3555.7097
50		311.16		-50341.996		0.63998		-3540.277
55		310.02		-50431.664		0.69222		-3555.9666
60		309.52		-50268.035		0.7569001		-3584.666
65		310.5		-50407.387		0.8142401		-3543.195
70		313.46		-49994.75		0.88508004		-3541.7747
75		313.9		-50619.95		0.94649976		-3535.2925
