round		Coverage		Penalty		Time		Fitness
2		312.24		-50531.934		0.122600004		-3573.2346
4		306.48		-51037.76		0.19783996		-3610.9338
6		311.8		-50412.13		0.27680004		-3542.1406
8		307.04		-50372.535		0.35332003		-3594.0044
10		305.76		-50755.766		0.4335		-3567.9006
12		308.26		-50681.684		0.51041996		-3569.0078
14		310.26		-50142.29		0.59519994		-3557.4902
16		307.76		-51090.09		0.66308004		-3549.7432
18		312.84		-50367.086		0.74354		-3550.6672
20		309.56		-50360.477		0.82068014		-3561.3457
22		304.68		-51049.84		0.90279984		-3562.2107
24		305.2		-51127.26		0.99808		-3568.7493
26		308.92		-50688.844		1.0499799		-3540.5781
28		313.08		-50536.637		1.12954		-3557.884
30		313.68		-50275.516		1.2093399		-3535.5605
