round		Coverage		Penalty		Time		Fitness
1		308.51		19831.91		0.079789996		-3618.815
3		306.3		19421.229		0.16077997		-3585.8171
5		304.91		19482.05		0.23954001		-3567.8613
7		309.22		19526.771		0.32281998		-3531.3223
9		304.24		19572.318		0.39972997		-3551.9897
11		306.92		19347.836		0.47650012		-3532.295
13		303.52		19254.945		0.56174		-3562.0803
15		305.98		19358.898		0.64937997		-3538.2588
17		305.59		19695.37		0.71954		-3546.6252
19		306.51		19580.244		0.8026698		-3520.9343
21		305.57		19720.02		0.8805002		-3535.1921
23		303.1		19544.19		0.9555299		-3542.3809
25		303.87		19671.21		1.0430199		-3548.709
27		304.58		19341.928		1.1185299		-3552.6252
29		307.61		19493.86		1.20038		-3543.739
31		306.64		19624.463		1.28973		-3543.4111
33		308.54		19122.854		1.3588502		-3528.4128
35		306.96		19921.92		1.4471304		-3534.1208
37		304.32		19965.352		1.5219704		-3534.478
39		305.3		19655.71		1.59399		-3539.8457
