popSize		Coverage		Penalty		Time
4		250.71		-56681.613		0.049610004
8		246.16		-56312.566		0.095569976
12		251.75		-54929.523		0.14444
16		246.09		-55652.324		0.19586
20		252.37		-54335.11		0.23833004
24		249.78		-54935.234		0.28511998
28		245.6		-55145.5		0.33322993
32		251.25		-54832.89		0.38445
36		247.34		-54710.363		0.42894
40		250.14		-55530.4		0.5024901
44		252.4		-54703.895		0.51723987
48		253.32		-54102.863		0.60565007
52		246.67		-55542.875		0.62501
56		249.78		-54761.64		0.67327005
60		248.4		-55105.156		0.77662003
64		249.83		-54702.02		0.7645299
68		242.91		-55234.15		0.8454299
72		246.01		-54798.11		0.8523999
76		251.03		-54682.29		0.9051099
80		245.63		-55582.703		0.9542899
