popSize		Coverage		Penalty		Time
4		416.12		-39046.047		0.055260014
8		415.06		-38537.293		0.105450004
12		418.13		-37084.844		0.15774998
16		417.53		-37141.914		0.21161994
20		417.03		-37238.28		0.26697993
24		416.46		-37220.94		0.31645
28		417.03		-37331.152		0.36484
32		417.27		-37531.715		0.41957995
36		415.29		-37074.8		0.47343007
40		415.98		-37010.63		0.52176994
44		418.08		-37026.766		0.57201004
48		414.39		-37630.29		0.62356
52		415.44		-37629.945		0.6809399
56		417.8		-37155.047		0.7279602
60		415.14		-37479.945		0.77973
64		414.86		-37348.844		0.82943016
68		413.44		-37422.5		0.8757599
72		414.48		-37755.355		0.92237
76		418.53		-37075.773		0.97186005
80		413.96		-37703.918		1.0234599
